AverageX_Test,AverageY_Test
2285.494268,967.7240396
2285.769537,967.7412388
2285.996385,967.6882059
2286.216689,967.6898238
2286.429283,967.7502312
2286.707865,967.6353063
2286.818305,967.7286694
2287.131265,967.6776416
2287.285418,967.5484846
2287.518233,967.4807358
2287.819454,967.6025083
2288.008953,967.4565937
2288.292982,967.6789948
2288.466242,967.5108061
2288.707828,967.5097791
2288.985126,967.3255252
2289.1775,967.3770692
2289.477957,967.3351
2289.657859,967.517269
2289.987123,967.6724182
2290.306508,967.5644327
2290.605378,967.5817819
2290.623373,967.4928785
2290.748403,967.682309
2291.055299,967.9295435
2291.070631,967.9673387
2291.253152,968.02344
2291.479163,968.0386902
2291.691897,968.2891611
2291.967996,968.2316656
2292.236061,968.1224717
2292.467335,968.2536273
2292.596697,968.2552311
2292.837947,968.129981
2293.180957,968.3733772
2293.312333,968.3500125
2293.330892,968.530908
2293.580871,968.4668979
2293.711421,968.3535423
2294.005831,968.354116
2294.144641,968.2968908
2294.398964,968.161241
2294.629532,968.2073063
2294.714723,968.0584398
2294.770345,968.2613318
2294.897398,968.1787472
2294.914358,968.2169412
2295.188038,968.0737495
2295.211343,968.2367478
2295.555828,968.1847989
2295.557207,968.1949675
2295.644779,968.2980284
2295.721535,968.4891907
2296.026622,968.6717393
2296.119826,968.6337327
2296.425691,968.5560993
2296.758498,968.5894052
2297.012976,968.5045449
2297.052777,968.7509549
2297.416225,968.8913394
2297.624305,968.9075421
2297.92181,968.839135
2298.278611,969.0158871
2298.64333,969.1205254
2298.924217,969.2335972
2299.134833,969.2211088
2299.33322,969.1547359
2299.358492,969.0354269
2299.741873,969.004177
2300.081017,968.9252289
2300.466276,969.1510766
2300.736053,969.2481226
2300.895654,969.2584787
2300.956159,969.2100575
2301.206669,969.4808548
2301.23124,969.3969788
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
