lat,long
40.45988968,-79.92509021
40.45989015,-79.92509007
40.45989032,-79.92508881
40.45989025,-79.92508581
40.45989064,-79.92508212
40.45989072,-79.92507983
40.4598921,-79.92507853
40.45989183,-79.92507702
40.45989208,-79.92507514
40.45989274,-79.92507233
40.45989325,-79.92507105
40.45989506,-79.92507081
40.4598955,-79.92506834
40.45989632,-79.92506667
40.4598978,-79.92506446
40.45989964,-79.92506199
40.45990111,-79.92506103
40.45990307,-79.92505937
40.45990476,-79.92505674
40.45990773,-79.92505539
40.45990974,-79.92505447
40.45991188,-79.92505184
40.45991436,-79.92504941
40.45991665,-79.9250461
40.45991906,-79.92504623
40.4599213,-79.92504536
40.459924,-79.92504343
40.45992656,-79.9250399
40.4599293,-79.92503788
40.45993176,-79.92503601
40.45993464,-79.92503454
40.45993747,-79.92503351
40.4599403,-79.9250304
40.45994292,-79.92502693
40.45994565,-79.92502545
40.4599484,-79.9250243
40.45995121,-79.92502139
40.45995415,-79.92501925
40.4599569,-79.9250189
40.45995948,-79.92501566
40.45996216,-79.92501274
40.45996499,-79.92501141
