AverageX_Test,AverageY_Test
2285.503403,967.7579533
2285.777185,967.6826861
2286.085211,967.7018241
2286.361774,967.7662455
2286.406559,967.7264413
2286.63896,967.7078789
2286.824904,967.7125958
2286.916304,967.5593238
2287.229653,967.636385
2287.482365,967.5548118
2287.754387,967.6168738
2287.776732,967.5141045
2288.053722,967.4278716
2288.296408,967.3839424
2288.561352,967.3333323
2288.618216,967.3753998
2288.935666,967.0395009
2289.152444,967.1378529
2289.279489,966.9314434
2289.599917,966.8314558
2289.850918,966.6779489
2290.00473,966.7617068
2290.111193,966.5800621
2290.448513,966.4611948
2290.568258,966.439584
2290.651055,966.3916204
2290.747102,966.4225147
2290.946161,966.459676
2291.30085,966.399753
2291.383468,966.4458108
2291.560169,966.537063
2291.614275,966.6987952
2291.896967,966.7971921
2292.020256,966.7705049
2292.228227,966.8493731
2292.417123,967.0508752
2292.683771,967.1376291
2292.935286,966.9506626
2292.981079,966.8096847
2293.333898,967.006573
2293.535108,966.8251574
2293.590686,966.8089733
2293.749467,966.9741543
2293.937669,967.2042315
2294.19267,967.1409512
2294.246999,967.3218693
2294.461842,967.337823
2294.712517,967.3201913
2294.831099,967.5515786
2294.940161,967.557711
2295.05115,967.6216986
2295.32504,967.6574931
2295.549113,967.8455997
2295.833542,968.0429835
2296.177766,967.9076707
2296.399139,967.940693
2296.528356,967.904994
2296.542933,968.1492084
2296.927917,968.2667898
2297.103518,968.2248082
