timestep,PositionX,PositionY,geo pos x,geo pos y,Speed,Lane ID,device one coord,device two coord,signalDistance,A1 to P,A2 to P,Delta 1,Delta two,Distance One Prime,Distance 2 Prime,Angle Predict One,Angle Predict Two,X Pos One Prime,Y Pos One Prime,geo Coord X1,geo Coord y1,X Pos 2 Prime,Y Pos 2 Prime,geo Coord X2,geo Coord Y2,AverageX,Average Y,Ave X Geo,Ave Y geo,,PositionX,PositionY,percent error ,
271.2,2287.994156,968.8293777,40.45989062,-79.92506268,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,3.241778017,5.631909727,0.015418796,0.124159567,3.257196813,5.756069294,15.66002929,8.786040811,2287.734891,969.4423543,40.45989679,-79.92506376,2287.707983,968.7537378,40.45989059,-79.92506417,2287.721437,969.098046,40.45989369,-79.92506396,,2287.994156,968.8293777,-0.000119196,0.000277312
271.3,2288.294102,968.9051037,40.45989124,-79.92506079,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,3.405977616,5.48608643,0.074673405,0.188305188,3.480651021,5.674391618,19.81870237,12.00335544,2287.873093,969.7432405,40.45989948,-79.92506208,2287.846185,969.054624,40.45989328,-79.9250625,2287.859639,969.3989323,40.45989638,-79.92506229,,2288.294102,968.9051037,-0.000189863,0.000509677
271.4,2288.296545,968.9886221,40.45989189,-79.92505724,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,3.71129007,5.20544267,0.059118917,0.148333997,3.770408987,5.353776667,17.60257616,12.29674285,2288.192467,969.7033628,40.45989909,-79.92505832,2288.165559,969.0147463,40.45989289,-79.92505874,2288.179013,969.3590546,40.45989599,-79.92505853,,2288.296545,968.9886221,-5.13622E-05,0.000382288
271.5,2288.561808,969.0776214,40.45989264,-79.9250572,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,3.722342291,5.220232558,0.064084842,0.126968451,3.786427133,5.347201009,17.82256031,12.5171914,2288.203313,969.7220555,40.45989926,-79.92505819,2288.176404,969.033439,40.45989306,-79.92505861,2288.189859,969.3777473,40.45989616,-79.9250584,,2288.561808,969.0776214,-0.000162525,0.000309703
271.6,2288.680703,969.1748297,40.45989341,-79.92505406,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,3.996461325,4.982144549,0.079742387,0.158305771,4.076203712,5.14045032,18.89041591,14.87612544,2288.455257,969.8828514,40.45990068,-79.9250552,2288.428349,969.1942349,40.45989448,-79.92505561,2288.441803,969.5385431,40.45989758,-79.92505541,,2288.680703,969.1748297,-0.000104383,0.000375282
271.7,2288.979791,969.2813959,40.45989428,-79.92505264,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,4.127678045,4.891789453,0.057486729,0.181505137,4.185164775,5.073294589,19.44199942,15.93718763,2288.545122,969.9561855,40.45990133,-79.92505413,2288.518214,969.267569,40.45989513,-79.92505454,2288.531668,969.6118772,40.45989823,-79.92505433,,2288.979791,969.2813959,-0.000195774,0.000340955
271.8,2289.137502,969.393303,40.4598952,-79.9250491,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,4.439676218,4.635371297,0.162075511,0.166657625,4.601751729,4.802028921,20.66409459,19.76546322,2288.9043,970.1870487,40.45990337,-79.92504986,2288.877392,969.4984322,40.45989717,-79.92505027,2288.890846,969.8427404,40.45990027,-79.92505007,,2289.137502,969.393303,-0.000107751,0.000463628
271.9,2289.323014,969.5111122,40.45989619,-79.92504722,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,4.614195248,4.521704662,0.139310081,0.112207981,4.753505328,4.633912643,19.67383613,20.20340744,2289.074617,970.1634834,40.45990314,-79.92504785,2289.047708,969.4748669,40.45989694,-79.92504827,2289.061162,969.8191752,40.45990004,-79.92504806,,2289.323014,969.5111122,-0.00011438,0.000317751
272,2289.488567,969.6379583,40.45989723,-79.92504502,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,4.818581978,4.389961993,0.167367413,0.067412106,4.985949391,4.457374099,19.66265922,22.10982279,2289.293819,970.2408234,40.45990381,-79.92504526,2289.266911,969.5522069,40.45989761,-79.92504567,2289.280365,969.8965151,40.45990071,-79.92504546,,2289.488567,969.6379583,-9.09382E-05,0.000266653
272.1,2289.744243,969.7723685,40.45989836,-79.92504305,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,5.006695842,4.287387955,0.130712509,0.036889628,5.137408351,4.324277583,19.31269887,23.1358353,2289.446914,970.2622051,40.45990399,-79.92504345,2289.420006,969.5735886,40.45989779,-79.92504386,2289.43346,969.9178969,40.45990089,-79.92504366,,2289.744243,969.7723685,-0.000135728,0.000150064
272.2,2289.908875,969.9139401,40.45989954,-79.92504001,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,5.285817167,4.115926025,0.140318402,0.084525499,5.426135569,4.200451524,20.54761675,26.96220703,2289.679529,970.4676391,40.45990581,-79.92504068,2289.652621,969.7790226,40.45989961,-79.92504109,2289.666075,970.1233308,40.45990271,-79.92504088,,2289.908875,969.9139401,-0.00010603,0.000215886
272.3,2290.057243,970.0605551,40.4599008,-79.92503805,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,5.479386517,4.040147163,0.173783301,0.040418971,5.653169818,4.080566135,20.94316472,29.6826527,2289.878296,970.5838217,40.45990684,-79.92503832,2289.851388,969.8952052,40.45990064,-79.92503873,2289.864842,970.2395135,40.45990374,-79.92503852,,2290.057243,970.0605551,-8.40158E-05,0.000184482
272.4,2290.334504,970.2137252,40.4599021,-79.92503628,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,5.66030285,3.991166512,0.117735863,0.011225026,5.778038713,4.002391538,20.94160341,31.06316462,2289.994971,970.628308,40.45990722,-79.92503693,2289.968063,969.9396915,40.45990102,-79.92503735,2289.981517,970.2839998,40.45990412,-79.92503714,,2290.334504,970.2137252,-0.00015412,7.24321E-05
272.5,2290.384,970.3729064,40.45990345,-79.92503299,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,5.968669568,3.853273696,0.110206005,0.036074667,6.078875573,3.889348363,21.6761293,35.26032837,2290.247617,970.8084343,40.45990882,-79.92503393,2290.220709,970.1198178,40.45990262,-79.92503434,2290.234163,970.4641261,40.45990572,-79.92503414,,2290.384,970.3729064,-6.542E-05,9.40048E-05
272.6,2290.659117,970.5400625,40.45990488,-79.92503238,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,6.061855863,3.913707452,0.193473078,0.034090053,6.255328941,3.947797504,23.27239912,38.75893718,2290.344975,971.0346424,40.45991085,-79.92503275,2290.318067,970.3460259,40.45990465,-79.92503316,2290.331521,970.6903342,40.45990775,-79.92503296,,2290.659117,970.5400625,-0.000143014,0.000154833
