timestep,PositionX,PositionY,geo pos x,geo pos y,Speed,Lane ID,device one coord,device two coord,signalDistance,A1 to P,A2 to P,Delta 1,Delta two,Distance One Prime,Distance 2 Prime,Angle Predict One,Angle Predict Two,X Pos One Prime,Y Pos One Prime,geo Coord X1,geo Coord y1,X Pos 2 Prime,Y Pos 2 Prime,geo Coord X2,geo Coord Y2,AverageX,Average Y,Ave X Geo,Ave Y geo
271.3,2288.161063,968.9235729,40.45989138,-79.92506148,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,3.348334139,5.546834462,0.008706346,0.074959611,3.357040485,5.621794073,13.79063243,8.183555551,2287.858868,969.3633765,40.45989606,-79.9250623,2287.83196,968.67476,40.45988986,-79.92506272,2287.845414,969.0190683,40.45989296,-79.92506251
271.4,2288.244604,969.0085504,40.45989207,-79.9250588,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,3.580649637,5.339511503,0.004634144,0.095176952,3.585283781,5.434688455,14.74232506,9.664369871,2288.065856,969.4754989,40.45989705,-79.92505985,2288.038948,968.7868824,40.45989085,-79.92506026,2288.052402,969.1311906,40.45989395,-79.92506006
271.5,2288.544452,969.0998181,40.45989283,-79.92505781,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,3.673109142,5.27523722,0.018201021,0.093921073,3.691310163,5.369158294,15.84345051,10.8182969,2288.149682,969.5709072,40.4598979,-79.92505885,2288.122774,968.8822907,40.4598917,-79.92505926,2288.136228,969.226599,40.4598948,-79.92505905
271.6,2288.583956,969.1996947,40.45989361,-79.92505426,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,3.982181417,5.004376643,0.049715869,0.09681865,4.031897286,5.101195292,16.83593881,13.23351597,2288.457682,969.7309105,40.45989931,-79.92505519,2288.430774,969.042294,40.45989311,-79.92505561,2288.444228,969.3866022,40.45989621,-79.9250554
271.7,2288.863092,969.3084754,40.45989451,-79.92505378,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,4.035871405,4.991666054,0.014930572,0.07422388,4.050801977,5.065889934,16.29515509,12.96540252,2288.486677,969.6997396,40.45989902,-79.92505485,2288.459769,969.0111231,40.45989282,-79.92505527,2288.473223,969.3554313,40.45989592,-79.92505506
271.8,2289.041237,969.4261359,40.45989546,-79.92505047,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,4.329134964,4.754794712,0.03226079,0.086031526,4.361395754,4.840826238,17.37268581,15.6056152,2288.761041,969.8653942,40.45990049,-79.92505159,2288.734133,969.1767777,40.45989429,-79.92505201,2288.747587,969.5210859,40.45989739,-79.9250518
271.9,2289.32044,969.5500724,40.4598965,-79.92504835,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,4.525679986,4.6234054,0.07091408,0.054243018,4.596594066,4.677648418,18.0726205,17.74893792,2288.968417,969.9891085,40.45990158,-79.92504913,2288.941509,969.300492,40.45989538,-79.92504955,2288.954963,969.6448003,40.45989848,-79.92504934
272,2289.350147,969.6801538,40.45989759,-79.92504504,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,4.823877958,4.407015716,0.090032564,0.012041786,4.913910523,4.419057502,17.9745037,20.06894008,2289.272682,970.0795452,40.45990236,-79.92504553,2289.245774,969.3909287,40.45989616,-79.92504595,2289.259228,969.7352369,40.45989926,-79.92504574
272.1,2289.640406,969.8159432,40.45989875,-79.92504467,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,4.881076461,4.430951442,0.073957764,0.067340987,4.955034225,4.498292429,19.97176524,22.10082518,2289.255644,970.2555699,40.45990395,-79.9250457,2289.228736,969.5669534,40.45989775,-79.92504612,2289.24219,969.9112616,40.45990085,-79.92504591
272.2,2289.71018,969.9591102,40.45989994,-79.92504123,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,5.195123993,4.228167719,0.063665678,0.004004693,5.258789671,4.232172412,19.25996329,24.19661763,2289.563064,970.2977802,40.45990429,-79.92504207,2289.536156,969.6091637,40.45989809,-79.92504249,2289.54961,969.9534719,40.45990119,-79.92504228
272.3,2289.987041,970.1087219,40.45990123,-79.92504039,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,5.298771411,4.234914355,0.084962415,0.024105435,5.383733826,4.25901979,20.97803788,26.90758125,2289.625488,970.490574,40.45990602,-79.92504131,2289.59858,969.8019575,40.45989982,-79.92504173,2289.612034,970.1462658,40.45990292,-79.92504152
272.4,2290.211028,970.2634019,40.45990254,-79.9250371,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,5.605721378,4.076284153,0.088147333,0.031818897,5.69386871,4.10810305,21.62567861,30.71723393,2289.891685,970.6615684,40.45990753,-79.92503815,2289.864777,969.9729519,40.45990133,-79.92503856,2289.878231,970.3172602,40.45990443,-79.92503835
272.5,2290.460025,970.4261767,40.45990391,-79.92503444,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,5.864317844,3.981709465,0.096679434,0.036659023,5.960997278,4.018368488,22.41051628,34.44019373,2290.109399,970.8357141,40.45990908,-79.92503555,2290.082491,970.1470976,40.45990288,-79.92503597,2290.095945,970.4914058,40.45990598,-79.92503576
272.6,2290.729236,970.5935365,40.45990535,-79.92503148,0.3,:104530304_c2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,6.150381425,3.890225341,0.050229468,0.019891293,6.200610894,3.910116634,22.59836623,37.54386693,2290.323135,970.9458456,40.45991005,-79.92503302,2290.296227,970.2572291,40.45990385,-79.92503343,2290.309681,970.6015374,40.45990695,-79.92503323
272.7,2290.790153,970.76658,40.45990683,-79.92502828,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,6.45811041,3.808852457,0.05065348,0.018847468,6.50876389,3.827699925,23.1970579,42.05111188,2290.581167,971.1269108,40.45991165,-79.92502995,2290.554259,970.4382943,40.45990545,-79.92503036,2290.567713,970.7826025,40.45990855,-79.92503016
272.8,2291.088866,970.9450279,40.45990838,-79.92502754,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,6.571945269,3.893206741,0.07599734,0.02185988,6.64794261,3.915066621,24.52870172,44.82469358,2290.646589,971.32303,40.45991341,-79.92502915,2290.619681,970.6344135,40.45990721,-79.92502956,2290.633135,970.9787218,40.45991031,-79.92502936
272.9,2291.092341,971.1303534,40.45990996,-79.92502399,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,6.913531964,3.84098832,0.089600741,0.042457809,7.003132706,3.883446129,25.19889927,50.15575433,2290.935281,971.5448102,40.45991538,-79.92502571,2290.908373,970.8561937,40.45990918,-79.92502613,2290.921827,971.200502,40.45991228,-79.92502592
273,2291.390584,971.3225585,40.45991163,-79.92502392,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,6.9827819,3.988683132,0.07035461,0.04477443,7.053136509,4.033457562,26.55236129,51.41438291,2290.907816,971.7160043,40.45991692,-79.92502601,2290.880908,971.0273878,40.45991072,-79.92502643,2290.894362,971.3716961,40.45991382,-79.92502622
273.1,2291.39215,971.5205594,40.45991332,-79.92502038,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,7.331126395,3.989067176,0.066588862,0.041123301,7.397715257,4.030190477,26.9757021,56.3708688,2291.191436,971.91884,40.45991872,-79.92502264,2291.164528,971.2302235,40.45991252,-79.92502305,2291.177982,971.5745317,40.45991562,-79.92502285
273.2,2291.687983,971.7240429,40.45991511,-79.92502033,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,7.409361067,4.160649758,0.083777547,0.043757692,7.493138614,4.20440745,28.38821459,57.92351195,2291.190662,972.1257054,40.45992058,-79.92502262,2291.163754,971.4370889,40.45991438,-79.92502303,2291.177208,971.7813971,40.45991748,-79.92502283
273.3,2291.70166,971.9342877,40.45991691,-79.92501681,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,7.762128775,4.211630588,0.060306046,0.01145888,7.822434821,4.223089468,28.58583824,62.40940733,2291.46749,972.3059813,40.45992217,-79.92501933,2291.440582,971.6173648,40.45991597,-79.92501974,2291.454036,971.961673,40.45991907,-79.92501954
273.4,2291.985048,972.151366,40.4599188,-79.92501662,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,7.862447571,4.399337314,0.097919816,0.020262723,7.960367386,4.419600037,29.96939204,64.12419198,2291.494606,972.5396434,40.45992428,-79.92501897,2291.467698,971.8510269,40.45991808,-79.92501939,2291.481152,972.1953352,40.45992118,-79.92501918
273.5,2291.985988,972.372851,40.45992072,-79.92501325,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,8.211878799,4.503729097,0.099936677,0.055813017,8.311815476,4.559542114,30.6743745,68.43370302,2291.747431,972.8034847,40.45992662,-79.92501595,2291.720523,972.1148682,40.45992042,-79.92501637,2291.733977,972.4591765,40.45992352,-79.92501616
273.6,2292.283721,972.5993884,40.45992272,-79.9250132,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,8.311881429,4.714285657,0.08618669,0.087769476,8.398068119,4.802055133,32.2579412,68.97373788,2291.700459,973.0454585,40.45992881,-79.92501647,2291.673551,972.356842,40.45992261,-79.92501689,2291.687005,972.7011503,40.45992571,-79.92501668
273.7,2292.366194,972.8307145,40.45992473,-79.92500966,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,8.680573347,4.854133801,0.089733751,0.059305739,8.770307098,4.91343954,32.42901362,73.17513473,2292.001235,973.2662578,40.45993076,-79.92501289,2291.974327,972.5776413,40.45992456,-79.92501331,2291.987781,972.9219496,40.45992766,-79.9250131
273.8,2292.663531,973.0676568,40.4599268,-79.92500865,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,8.862713222,5.062148226,0.088757356,0.063047455,8.951470578,5.125195681,33.50471969,74.60357647,2292.062697,973.5044056,40.4599329,-79.92501214,2292.035789,972.8157891,40.4599267,-79.92501255,2292.049243,973.1600974,40.4599298,-79.92501234
273.9,2292.839355,973.3080187,40.4599289,-79.92500511,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,9.237627229,5.24460258,0.079185934,0.096477369,9.316813163,5.341079949,34.10721076,77.99871613,2292.312826,973.7874828,40.45993543,-79.92500915,2292.285918,973.0988663,40.45992923,-79.92500956,2292.299372,973.4431745,40.45993233,-79.92500935
274,2293.031459,973.5524558,40.45993105,-79.92500301,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,9.50914724,5.461982863,0.055737772,0.086219304,9.564885011,5.548202167,34.82487676,79.89980002,2292.450427,974.0253624,40.45993755,-79.92500749,2292.423519,973.3367459,40.45993135,-79.92500791,2292.436973,973.6810541,40.45993445,-79.9250077
274.1,2293.233358,973.8019695,40.45993323,-79.9250007,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,9.798283457,5.689652104,0.088265454,0.071426288,9.886548911,5.761078392,35.28855957,82.47071189,2292.668525,974.2745495,40.45993977,-79.92500488,2292.641617,973.585933,40.45993357,-79.9250053,2292.655071,973.9302413,40.45993667,-79.92500509
274.2,2293.499793,974.056679,40.45993545,-79.92499829,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,10.09971994,5.929687807,0.096181774,0.075414069,10.19590172,6.005101875,35.89870893,84.59572234,2292.85784,974.5415519,40.45994216,-79.92500261,2292.830932,973.8529354,40.45993596,-79.92500303,2292.844386,974.1972437,40.45993906,-79.92500282
274.3,2293.616811,974.3158407,40.45993772,-79.92499511,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,10.45993225,6.183015177,0.051226219,0.090901165,10.51115847,6.273916342,36.56753629,86.50264082,2293.040691,974.825375,40.45994469,-79.92500041,2293.013783,974.1367585,40.45993849,-79.92500083,2293.027237,974.4810667,40.45994159,-79.92500062
274.4,2293.789587,974.5776371,40.45994004,-79.92499369,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,10.69680613,6.445080357,0.062693833,0.051974633,10.75949996,6.49705499,37.11483469,87.8398475,2293.178524,975.0555811,40.45994675,-79.92499875,2293.151616,974.3669646,40.45994055,-79.92499917,2293.16507,974.7112729,40.45994365,-79.92499896
274.5,2294.007459,974.8437007,40.45994238,-79.92499162,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,10.98400593,6.714625933,0.086423817,0.08476696,11.07042974,6.799392893,37.88964496,89.25770335,2293.335329,975.3619654,40.4599495,-79.92499686,2293.308421,974.6733489,40.4599433,-79.92499728,2293.321875,975.0176571,40.4599464,-79.92499707
274.6,2294.282439,975.114377,40.45994475,-79.92498901,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,11.31247221,6.995902297,0.078039801,0.066389999,11.39051201,7.062292296,38.31148265,90.91496199,2293.53619,975.6245349,40.45995184,-79.92499446,2293.509282,974.9359184,40.45994564,-79.92499487,2293.522736,975.2802267,40.45994874,-79.92499466
274.7,2294.492577,975.387716,40.45994716,-79.92498573,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,11.69168129,7.293854113,0.06781228,0.08343464,11.75949357,7.377288753,38.80594261,92.63408079,2293.762455,975.9326371,40.45995459,-79.92499174,2293.735547,975.2440206,40.45994839,-79.92499216,2293.749001,975.5883288,40.45995149,-79.92499195
274.8,2294.732401,975.6646074,40.4599496,-79.92498321,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,12.01938326,7.59271905,0.089934263,0.065106244,12.10931752,7.657825294,39.09568824,94.29232461,2293.996567,976.1994895,40.45995697,-79.92498894,2293.969659,975.510873,40.45995077,-79.92498936,2293.983113,975.8551812,40.45995387,-79.92498915
274.9,2295.012317,975.9434957,40.45995207,-79.92498034,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,12.37435737,7.90379459,0.063987709,0.093876279,12.43834508,7.997670869,39.81464171,95.23219297,2294.152741,976.5274902,40.4599599,-79.92498705,2294.125833,975.8388737,40.4599537,-79.92498747,2294.139287,976.183182,40.4599568,-79.92498726
275,2295.204001,976.2258887,40.45995455,-79.924977,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,12.76382013,8.22916157,0.090696069,0.083307789,12.8545162,8.312469359,39.91325789,97.15125839,2294.458229,976.8109495,40.45996242,-79.92498341,2294.431321,976.122333,40.45995622,-79.92498383,2294.444775,976.4666412,40.45995932,-79.92498362
275.1,2295.490006,976.5103145,40.45995707,-79.9249747,0.3,:104530304_w2_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,13.08404403,8.544722448,0.064682008,0.061784011,13.14872603,8.60650646,40.41367684,97.92346148,2294.609824,977.0874841,40.4599649,-79.92498158,2294.582916,976.3988676,40.4599587,-79.924982,2294.59637,976.7431758,40.4599618,-79.92498179
275.2,2295.621845,976.7974743,40.4599596,-79.92497129,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,13.48259106,8.885919588,0.087655315,0.079242155,13.57024638,8.965161743,40.67277444,99.42081917,2294.890873,977.4073895,40.45996775,-79.92497822,2294.863965,976.718773,40.45996155,-79.92497864,2294.877419,977.0630812,40.45996465,-79.92497843
275.3,2295.88417,977.0869774,40.45996217,-79.92496969,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,13.7592206,9.196255938,0.052617999,0.08784062,13.8118386,9.284096558,41.54468043,99.37601418,2294.935915,977.7232083,40.45997059,-79.92497765,2294.909007,977.0345918,40.45996439,-79.92497806,2294.922461,977.3789,40.45996749,-79.92497786
275.4,2296.094555,977.3788586,40.45996475,-79.92496656,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,14.14283681,9.542416351,0.066747867,0.051541609,14.20958467,9.593957961,41.5303011,100.8901418,2295.235969,977.9843257,40.45997291,-79.92497407,2295.209061,977.2957092,40.45996671,-79.92497449,2295.222515,977.6400175,40.45996981,-79.92497428
275.5,2296.339131,977.6723586,40.45996736,-79.92496403,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,14.4870225,9.879867662,0.065702252,0.079716183,14.55272475,9.959583846,42.13685518,101.3887984,2295.390092,978.3266207,40.45997597,-79.9249722,2295.363184,977.6380042,40.45996977,-79.92497262,2295.376638,977.9823125,40.45997287,-79.92497241
275.6,2296.544554,977.9675789,40.45996998,-79.92496111,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,14.85994227,10.23017813,0.063675661,0.055257567,14.92361793,10.28543569,42.30471205,102.4210096,2295.635746,978.6078325,40.45997848,-79.92496927,2295.608838,977.919216,40.45997228,-79.92496968,2295.622292,978.2635242,40.45997538,-79.92496948
275.7,2296.773118,978.2641111,40.45997261,-79.92495864,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,15.20359301,10.57260144,0.073216295,0.091745568,15.2768093,10.66434701,42.89550611,102.8234041,2295.790334,978.9615082,40.45998165,-79.92496739,2295.763426,978.2728917,40.45997545,-79.92496781,2295.77688,978.6172,40.45997855,-79.9249676
275.8,2296.825279,978.5614206,40.45997526,-79.9249559,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,15.56687732,10.92451192,0.081787552,0.091054577,15.64866487,11.0155665,43.17598635,103.5830625,2296.010474,979.2706094,40.45998441,-79.92496475,2295.983566,978.5819929,40.45997821,-79.92496517,2295.99702,978.9263011,40.45998131,-79.92496496
275.9,2297.125255,978.8596257,40.45997793,-79.92495525,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,15.7942148,11.22346517,0.073724359,0.050748711,15.86793916,11.27421388,43.6749971,103.6048266,2296.075382,979.5210159,40.45998666,-79.92496395,2296.048474,978.8323994,40.45998046,-79.92496437,2296.061928,979.1767077,40.45998356,-79.92496416
276,2297.177885,979.158686,40.45998058,-79.92495167,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,16.2152595,11.60068775,0.085032008,0.097130209,16.30029151,11.69781796,44.06072156,104.2963414,2296.312042,979.8986972,40.45999003,-79.92496111,2296.285134,979.2100807,40.45998383,-79.92496152,2296.298588,979.554389,40.45998693,-79.92496132
276.1,2297.457549,979.4581226,40.45998327,-79.924951,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,16.44700393,11.90088504,0.083048077,0.064055133,16.53005201,11.96494018,44.53645224,104.3125969,2296.381293,980.1567083,40.45999235,-79.92496025,2296.354385,979.4680918,40.45998615,-79.92496067,2296.367839,979.8124001,40.45998925,-79.92496046
276.2,2297.551511,979.7579595,40.45998594,-79.92494766,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,16.85387612,12.2748421,0.070492609,0.065833657,16.92436873,12.34067575,44.78250041,104.9704924,2296.611279,980.4849639,40.45999528,-79.92495749,2296.584371,979.7963474,40.45998908,-79.92495791,2296.597825,980.1406556,40.45999218,-79.9249577
276.3,2297.765567,980.057932,40.45998863,-79.92494651,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,17.12021682,12.58888518,0.055074061,0.096466495,17.17529088,12.68535167,45.63818589,104.536233,2296.60734,980.8424254,40.4599985,-79.92495749,2296.580432,980.1538089,40.4599923,-79.92495791,2296.593886,980.4981171,40.4599954,-79.9249577
276.4,2298.023303,980.3579188,40.45999131,-79.92494394,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,17.47853519,12.94310797,0.080032619,0.083021633,17.55856781,13.0261296,45.68445881,105.3206117,2296.86518,981.1263557,40.46000103,-79.92495441,2296.838272,980.4377392,40.45999483,-79.92495482,2296.851726,980.7820475,40.45999793,-79.92495462
276.5,2298.306096,980.6576979,40.45999398,-79.92494086,0.3,:104530304_c1_0,"[2284.5986, 968.5631431]","[2293.396508, 967.8745266]",8.824816024,17.87006961,13.3132383,0.080253935,0.062903192,17.95032354,13.3761415,45.72506866,106.0863677,2297.129758,981.4155432,40.46000361,-79.92495125,2297.10285,980.7269267,40.45999741,-79.92495166,2297.116304,981.071235,40.46000051,-79.92495145
