lon,lat
-79.92509021403986,40.45988967912474
-79.92509007409343,40.45989014644912
-79.92508880693875,40.45989031577716
-79.92508580820376,40.459890249783165
-79.92508212384945,40.45989063542264
-79.9250798278638,40.459890724963884
-79.92507853139853,40.45989209600269
-79.92507702346656,40.45989182930802
-79.92507513683931,40.45989208151981
-79.92507232607937,40.45989274300348
-79.92507104882853,40.459893245294815
-79.92507080886726,40.45989506286954
-79.92506833558252,40.45989549911694
-79.92506666582872,40.45989632253433
-79.92506446413324,40.45989780339501
-79.92506198539726,40.459899644830486
-79.92505859516987,40.45989964713481
-79.92505553697437,40.45989929955923
-79.92505511646998,40.459898087011005
-79.92505077700355,40.45989763120202
-79.92504885241797,40.45989644903282
-79.92504589908886,40.45989816627532
-79.92504482719548,40.459897858691406
-79.92504413749907,40.459896748923036
-79.9250407803904,40.45989859128952
-79.92503623247833,40.4599003761295
-79.92503595535246,40.4599015315031
-79.92503310074022,40.45990251115096
-79.92503310457532,40.45990109639383
-79.92503296520935,40.4599025016888
-79.92503218180268,40.45990232222952
-79.92502869168494,40.4599034841729
-79.92502828480583,40.45990478110717
-79.92502656776922,40.45990521453334
-79.92502566288893,40.45990747022855
-79.92502445329062,40.459909447748295
-79.92502394172033,40.459910980259124
-79.92502080232283,40.45991228984331
-79.92501640486672,40.459913469638856
-79.9250160853337,40.45991358071968
-79.92501308859771,40.45991604387803
-79.92501112991076,40.45991773261359
-79.92501097925457,40.45991811188864
-79.92500873034783,40.45991934839057
-79.92500753313784,40.459920144048674
-79.92500753313784,40.459920144048674
