Lat,Long
40.45988156,-79.92509042
40.45988168,-79.92508718
40.45988118,-79.92508451
40.45988117,-79.92508191
40.45988169,-79.92507939
40.45988062,-79.92507613
40.45988145,-79.92507481
40.45988096,-79.92507113
40.45987978,-79.92506933
40.45987914,-79.92506659
40.45988021,-79.92506302
40.45987887,-79.92506081
40.45988084,-79.92505743
40.45987931,-79.92505541
40.45987927,-79.92505256
40.45987758,-79.92504932
40.45987803,-79.92504704
40.45987762,-79.9250435
40.45987826,-79.92504336
40.4598772,-79.92503964
40.45987586,-79.92503876
40.45987607,-79.92503518
40.45987474,-79.92503417
40.45987395,-79.92503053
40.45987229,-79.92502884
40.4598707,-79.92502606
40.45986966,-79.92502327
40.45986851,-79.92502036
40.45986686,-79.92501982
40.45986528,-79.92501587
40.45986361,-79.92501506
40.45986206,-79.92501145
40.45986017,-79.92501056
40.45985848,-79.92500747
40.45985656,-79.92500526
40.45985495,-79.92500195
40.45985274,-79.92499954
40.45985126,-79.92499612
40.45984872,-79.92499587
40.45984677,-79.92499208
40.45984447,-79.92499003
40.45984198,-79.9249891
40.45983978,-79.92498521
40.45983765,-79.92498361
40.45983538,-79.92498055
40.45983307,-79.92497952
40.45983083,-79.92497586
40.45982816,-79.92497529
40.45982588,-79.92497131
40.45982346,-79.92497046
40.45982106,-79.92496762
