lon,lat
-79.92509042,40.45988156
-79.92508718,40.45988168
-79.92508451,40.45988118
-79.92508191,40.45988117
-79.92507939,40.45988169
-79.92507613,40.45988062
-79.92507481,40.45988145
-79.92507113,40.45988096
-79.92506933,40.45987978
-79.92506659,40.45987914
-79.92506302,40.45988021
-79.92506081,40.45987887
-79.92505743,40.45988084
-79.92505541,40.45987931
-79.92505256,40.45987927
-79.92504932,40.45987758
-79.92504704,40.45987803
-79.9250435,40.45987762
-79.92504135,40.45987924
-79.92503745,40.4598806
-79.9250337,40.45987959
-79.92503017,40.45987971
-79.92502997,40.45987891
-79.92502847,40.4598806
-79.92502482,40.4598828
-79.92502463,40.45988314
-79.92502247,40.45988362
-79.9250198,40.45988373
-79.92501726,40.45988597
-79.92501401,40.45988542
-79.92501086,40.45988441
-79.92500812,40.45988556
-79.92500659,40.45988556
-79.92500377,40.45988441
-79.92499969,40.45988656
-79.92499814,40.45988634
-79.92499789,40.45988797
-79.92499496,40.45988736
-79.92499343,40.45988633
-79.92498996,40.4598863
-79.92498833,40.45988577
-79.92498535,40.45988452
-79.92498263,40.45988491
-79.92498164,40.45988356
-79.92498096,40.45988538
-79.92497947,40.45988462
-79.92497927,40.45988496
-79.92497606,40.45988364
-79.92497576,40.45988511
-79.92497171,40.4598846
